genres_id,genres
0,Action
1,Adventure
2,Fantasy
3,Sci-Fi
4,Thriller
5,Documentary
6,Animation
7,Comedy
8,Family
9,Musical
10,Romance
11,Mystery
12,Western
13,Drama
14,History
15,Sport
16,Crime
17,Horror
18,War
19,Biography
20,Music
21,Game-Show
22,Reality-TV
23,News
24,Short
25,Film-Noir
