movie_id,genres_id
0,0
0,1
0,2
0,3
1,0
1,1
1,2
2,0
2,1
2,4
3,0
3,4
4,5
5,0
5,1
5,3
6,1
6,6
6,7
6,8
6,2
6,9
6,10
7,0
7,1
7,3
8,1
8,8
8,2
8,11
9,0
9,1
9,3
10,0
10,1
10,3
11,0
11,1
12,0
12,1
12,2
13,0
13,1
13,12
14,0
14,1
14,2
14,3
15,0
15,1
15,8
15,2
16,0
16,1
16,2
17,0
17,1
17,7
17,8
17,2
17,3
18,1
18,2
19,0
19,1
19,2
20,0
20,1
20,13
20,14
21,1
21,2
22,1
22,8
22,2
23,13
23,10
24,0
24,1
24,3
25,0
25,1
25,3
25,4
26,0
26,1
26,3
26,4
27,0
27,1
27,2
27,10
28,0
28,1
28,3
29,0
29,1
29,2
29,3
29,4
30,1
30,6
30,7
30,8
30,2
31,0
31,1
31,3
32,0
32,1
32,3
33,0
33,1
33,2
33,3
34,1
34,6
34,7
34,8
34,15
35,0
35,1
35,3
36,1
36,6
36,7
36,8
36,2
37,0
37,1
37,3
38,0
38,16
38,4
39,0
39,1
39,17
39,3
39,4
40,0
40,1
40,2
40,3
40,4
41,0
41,1
41,3
42,1
42,2
43,0
43,1
43,2
43,10
44,0
44,1
44,3
45,0
45,1
45,3
46,0
46,1
46,2
47,1
47,6
47,7
47,8
47,2
48,1
48,6
48,7
48,8
48,2
49,0
49,1
49,3
49,4
50,1
50,6
50,8
50,3
51,0
51,7
51,16
51,4
52,0
52,1
52,3
53,6
53,13
53,8
53,2
54,0
54,1
54,3
55,1
55,8
55,2
56,0
56,1
56,3
57,0
57,16
57,13
57,4
58,1
58,6
58,7
58,8
59,0
59,1
59,6
59,7
59,8
59,3
60,0
60,1
60,3
61,1
61,13
61,8
61,11
62,0
62,7
62,3
62,12
63,0
63,1
63,2
63,17
63,4
64,0
64,1
64,7
64,3
65,7
65,8
65,2
66,0
66,1
66,3
67,0
67,1
67,3
67,4
68,0
68,1
68,3
68,4
69,1
69,6
69,7
69,13
69,8
69,2
70,0
70,1
70,3
71,0
71,1
71,13
71,2
72,0
72,1
72,8
72,2
72,10
73,0
73,1
73,13
73,3
74,0
74,1
74,13
74,2
75,0
75,1
75,3
76,1
76,6
76,7
76,8
76,2
77,0
77,1
77,8
77,11
77,3
78,0
78,1
78,6
78,7
78,13
78,8
78,3
79,1
79,6
79,7
79,8
79,3
80,1
80,6
80,8
80,2
81,0
81,1
81,3
82,1
82,6
82,8
82,2
83,0
83,3
84,0
84,1
84,3
85,1
85,13
85,3
86,0
86,1
86,3
86,4
87,1
87,2
88,13
88,2
88,10
89,0
89,1
89,3
90,1
90,3
91,0
91,1
91,8
91,2
92,0
92,1
92,13
92,4
93,1
93,8
93,2
94,1
94,6
94,7
94,8
94,2
95,0
95,1
95,2
96,0
96,1
96,3
97,1
97,8
97,2
98,0
98,13
98,14
98,10
98,18
99,0
99,1
99,3
100,0
100,1
100,19
100,13
100,14
100,10
100,18
101,1
101,8
101,2
101,11
102,1
102,8
102,2
102,11
103,0
103,13
104,13
104,17
104,3
105,1
105,7
105,8
105,2
106,6
106,7
106,8
106,2
107,0
107,1
108,0
108,1
108,6
108,7
108,8
109,1
109,7
109,8
109,2
110,0
110,1
110,2
110,3
110,4
111,0
111,3
112,1
112,6
112,7
112,8
112,2
112,9
113,0
113,3
114,0
114,1
114,2
115,0
115,1
115,3
115,4
116,11
116,4
117,0
117,1
117,2
118,1
118,6
118,7
118,13
118,8
119,0
119,1
119,6
119,7
119,8
119,2
119,3
120,0
120,1
120,2
121,7
121,2
121,17
122,0
122,1
122,4
123,13
123,2
123,17
123,4
124,0
124,1
124,13
124,10
125,1
125,6
125,7
125,8
126,0
126,1
126,6
126,7
126,8
127,0
127,1
127,8
127,2
128,0
128,1
128,4
129,0
129,13
129,4
130,0
130,1
130,6
130,7
130,8
130,3
131,1
131,6
131,7
131,8
132,1
132,6
132,7
132,8
132,3
133,1
134,1
134,6
134,7
134,8
135,0
135,1
135,4
136,0
136,1
136,3
136,4
137,0
137,1
137,7
137,8
137,2
137,11
137,3
138,0
138,1
138,6
138,2
139,0
139,1
139,6
139,7
139,8
140,0
140,1
140,4
141,1
141,6
141,8
141,2
142,7
142,16
143,0
143,13
143,14
143,18
144,0
144,1
144,3
145,0
145,1
145,2
145,10
146,0
146,1
146,6
146,7
146,8
