movie_id,director_id
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,1
13,1
14,9
15,15
16,16
17,17
18,18
19,19
20,20
21,18
22,22
23,0
24,24
25,25
26,26
27,27
28,28
29,29
30,30
31,31
32,31
33,19
34,34
35,35
36,36
37,37
38,38
39,11
40,10
41,41
42,10
43,43
44,44
45,31
46,46
47,47
48,48
49,49
50,5
51,29
52,52
53,53
54,54
55,15
56,10
57,3
58,58
59,59
60,60
61,61
62,17
63,63
64,64
65,65
66,66
67,67
68,68
69,58
70,60
71,71
72,72
73,73
74,74
75,24
76,76
77,77
78,78
79,79
80,53
81,52
82,82
83,83
84,84
85,3
86,3
87,18
88,88
89,89
90,90
91,91
92,92
93,93
94,94
95,95
96,96
97,97
98,31
99,31
100,100
101,8
102,43
103,25
104,90
105,105
106,77
107,3
108,108
109,109
110,110
111,54
112,112
113,54
114,96
115,115
116,116
117,117
118,118
119,119
120,120
121,105
122,122
123,123
124,8
125,125
126,126
127,127
128,41
129,52
130,130
131,131
132,132
133,92
134,108
135,135
136,31
137,17
138,53
139,139
140,77
141,141
142,142
143,143
144,41
145,27
146,82
147,147
148,63
149,9
150,150
151,151
152,152
153,153
154,154
155,123
156,97
157,157
158,115
159,159
160,160
161,46
162,162
163,163
164,1
165,108
166,166
167,167
168,168
169,90
170,170
171,46
172,31
173,94
174,174
175,175
176,46
177,177
178,178
179,127
180,180
181,181
182,109
183,183
184,184
185,185
186,186
187,1
188,181
189,90
190,116
191,191
192,10
193,49
194,194
195,195
196,196
197,197
198,116
199,52
200,200
201,92
202,202
203,151
204,204
205,166
206,37
207,20
208,132
209,209
210,210
211,54
212,212
213,213
214,214
215,215
216,215
217,58
218,213
219,215
220,220
221,221
222,200
223,223
224,177
225,225
226,226
227,109
228,228
229,229
230,52
231,231
232,66
233,185
234,61
235,59
236,236
237,160
238,238
239,239
240,240
241,185
242,109
243,239
244,244
245,110
246,246
247,18
248,248
249,249
250,147
251,20
252,132
253,253
254,20
255,255
256,256
257,257
258,20
259,46
260,184
261,0
262,248
263,20
264,0
265,265
266,266
267,267
268,268
269,269
270,270
271,271
272,272
273,91
274,274
275,275
276,276
277,277
278,143
279,61
280,197
281,281
282,282
283,9
284,284
285,253
286,286
287,287
288,288
289,116
290,290
291,166
292,292
293,293
294,68
295,61
296,296
297,297
298,298
299,20
300,300
301,301
302,302
303,303
304,292
305,5
306,18
307,18
308,308
309,272
310,310
311,123
312,312
313,313
314,314
315,77
316,316
317,184
318,17
319,34
320,265
321,29
322,53
323,323
324,191
325,325
326,37
327,61
328,328
329,325
330,88
331,195
332,194
333,270
334,334
335,10
336,336
337,184
338,46
339,132
340,53
341,281
342,342
343,343
344,244
345,152
346,174
347,265
348,348
349,191
350,184
351,351
352,352
353,353
354,354
355,116
356,356
357,357
358,244
359,53
360,115
361,166
362,92
363,231
364,364
365,365
366,366
367,160
368,368
369,366
370,29
371,371
372,265
373,371
374,231
375,375
376,376
377,377
378,25
379,195
380,16
381,49
382,382
383,383
384,384
385,385
386,386
387,387
388,388
389,389
390,239
391,391
392,228
393,66
394,44
395,88
396,229
397,65
398,398
399,348
400,357
401,401
402,105
403,403
404,82
405,405
406,406
407,142
408,389
409,76
410,336
411,389
412,371
413,61
414,414
415,276
416,200
417,417
418,2
419,336
420,160
421,272
422,422
423,423
424,424
425,425
426,244
427,427
428,109
429,150
430,64
431,431
432,432
433,433
434,391
435,435
436,436
437,437
438,365
439,160
440,440
441,130
442,290
443,257
444,35
445,445
446,446
447,447
448,105
449,449
450,135
451,83
452,225
453,63
454,454
455,455
456,456
457,16
458,150
459,459
460,115
461,153
462,462
463,301
464,464
465,277
466,364
467,467
468,116
469,375
470,228
471,471
472,29
473,123
474,336
475,475
476,167
477,477
478,478
479,479
480,480
481,481
482,52
483,46
484,108
485,177
486,10
487,487
488,31
489,191
490,389
491,417
492,316
493,493
494,159
495,336
496,46
497,160
498,343
499,35
500,500
501,303
502,170
503,160
504,504
505,46
506,506
507,507
508,194
509,212
510,510
511,511
512,512
513,513
514,386
515,515
516,516
517,517
518,364
519,519
520,520
521,314
522,127
523,523
524,9
525,348
526,511
527,527
528,513
529,529
530,25
531,267
532,532
533,533
534,2
535,535
536,536
537,316
538,377
539,127
540,540
541,127
542,15
543,34
544,544
545,63
546,546
547,116
548,269
549,46
550,29
551,316
552,552
553,160
554,554
555,127
556,364
557,540
558,558
559,506
560,560
561,120
562,105
563,500
564,46
565,565
566,0
567,100
568,568
569,143
570,89
571,377
572,116
573,197
574,574
575,540
576,576
577,417
578,578
579,579
580,195
581,581
582,582
583,583
584,240
585,248
586,586
587,587
588,588
589,316
590,590
591,591
592,298
593,481
594,594
595,595
596,596
597,597
598,583
599,248
600,600
601,20
602,300
603,487
604,388
605,160
606,606
607,607
608,46
609,609
610,371
611,276
612,612
613,46
614,54
615,116
616,281
617,617
618,618
619,619
620,267
621,35
622,401
623,623
624,316
625,200
626,91
627,100
628,43
629,629
630,630
631,631
632,632
633,37
634,634
635,635
636,500
637,364
638,364
639,316
640,640
641,60
642,88
643,37
644,160
645,645
646,619
647,647
648,648
649,606
650,650
651,342
652,652
653,282
654,300
655,131
656,46
657,612
658,174
659,659
660,660
661,83
662,662
663,663
664,664
665,269
666,666
667,667
668,9
669,300
670,670
671,536
672,334
673,271
674,88
675,66
676,35
677,272
678,157
679,679
680,532
681,652
682,288
683,504
684,684
685,108
686,686
687,265
688,417
689,689
690,690
691,29
692,185
693,100
694,694
695,248
696,268
697,697
698,316
699,699
700,231
701,701
702,520
703,127
704,265
705,705
706,401
707,707
708,44
709,709
710,710
711,587
712,200
713,713
714,714
715,160
716,716
717,717
718,117
719,719
720,720
721,721
722,506
723,723
724,724
725,323
726,726
727,606
728,728
729,729
730,623
731,731
732,196
733,733
734,552
735,735
736,736
737,737
738,738
739,35
740,277
741,729
742,713
743,743
744,694
745,554
746,667
747,135
748,748
749,749
750,364
751,7
752,65
753,348
754,754
755,755
756,756
757,757
758,758
759,705
760,760
761,116
762,762
763,650
764,764
765,765
766,35
767,767
768,768
769,769
770,770
771,623
772,160
773,313
774,707
775,775
776,565
777,391
778,684
779,109
780,364
781,781
782,160
783,640
784,784
785,63
786,29
787,787
788,788
789,160
790,417
791,791
792,53
793,667
794,300
795,795
796,150
797,65
798,513
799,799
800,800
801,166
802,109
803,286
804,506
805,805
806,265
807,807
808,185
809,511
810,286
811,269
812,298
813,160
814,269
815,356
816,53
817,817
818,736
819,313
820,132
821,821
822,88
823,823
824,824
825,435
826,826
827,827
828,91
829,583
830,830
831,831
832,623
833,384
834,265
835,197
836,836
837,837
838,838
839,839
840,840
841,93
842,560
843,843
844,721
845,845
846,44
847,807
848,756
849,849
850,554
851,24
852,852
853,383
854,709
855,475
856,516
857,178
858,858
859,859
860,623
861,504
862,862
863,436
864,864
865,46
866,353
867,168
868,868
869,544
870,870
871,871
872,872
873,873
874,61
875,875
876,876
877,583
878,878
879,879
880,22
881,15
882,882
883,67
884,554
885,595
886,212
887,65
888,267
889,446
890,41
891,231
892,733
893,323
894,894
895,168
896,896
897,184
898,784
899,16
900,900
901,901
902,902
903,554
904,147
905,817
906,906
907,632
908,908
909,909
910,910
911,92
912,912
913,913
914,914
915,872
916,160
917,917
918,918
919,919
920,920
921,921
922,422
923,31
924,924
925,925
926,623
927,20
928,88
929,929
930,930
931,931
932,504
933,933
934,934
935,456
936,872
937,406
938,938
939,939
940,940
941,941
942,862
943,943
944,544
945,914
946,27
947,160
948,948
949,817
950,623
951,150
952,952
953,662
954,954
955,195
956,623
957,282
958,958
959,160
960,77
961,961
962,357
963,823
964,770
965,912
966,966
967,967
968,301
969,969
970,970
971,971
972,972
973,973
974,66
975,160
976,265
977,827
978,787
979,979
980,980
981,325
982,982
983,500
984,984
985,574
986,986
987,160
988,316
989,989
990,231
991,46
992,743
993,209
994,174
995,88
996,996
997,719
998,368
999,512
1000,762
1001,213
1002,729
1003,849
1004,213
1005,1005
1006,231
1007,325
1008,1008
1009,1009
1010,195
1011,1011
1012,1012
1013,1013
1014,1014
1015,1015
1016,909
1017,3
1018,560
1019,821
1020,143
1021,65
1022,1022
1023,1023
1024,707
1025,1005
1026,1026
1027,733
1028,432
1029,544
1030,352
1031,197
1032,662
1033,174
1034,507
1035,1035
1036,506
1037,142
1038,660
1039,93
1040,480
1041,1041
1042,1042
1043,1043
1044,701
1045,989
1046,34
1047,1043
1048,517
1049,1049
1050,800
1051,1051
1052,1052
1053,1053
1054,391
1055,805
